id;job_accepted_timestamp;last_event_timestamp;last_record_update_timestamp;status;paused_bucket_key;process_id
1;2022-12-01T01:12:48;2022-12-01T07:49:40;2022-12-01T09:00:53;COMPLETED;Credit Analyst Refined;1
2;2022-11-30T17:28:08;2022-12-01T03:55:39;2022-12-01T11:23:32;PAUSED;Loan grey;2
3;2022-11-30T23:35:05;2022-11-30T21:23:10;2022-12-01T09:21:13;PAUSED;protocol panel black;3
4;2022-12-01T04:05:57;2022-11-30T17:05:28;2022-11-30T15:00:32;NOTIFIED;Coordinator Quality;4
5;2022-12-01T03:37:04;2022-11-30T20:54:17;2022-12-01T07:43:45;SCHEDULED;Frozen systematic dedicated;5
6;2022-11-30T21:18:36;2022-12-01T09:57:13;2022-12-01T06:40:33;SCHEDULED;Rustic;6
7;2022-11-30T21:30:05;2022-12-01T01:40:23;2022-11-30T22:51:33;FAILED;Regional Handcrafted;7
8;2022-11-30T22:40:56;2022-12-01T09:33:05;2022-12-01T08:53:13;COMPLETED;Wooden;8
9;2022-11-30T18:14:47;2022-11-30T15:07:42;2022-11-30T17:57:56;ACCEPTED;Optimized Ameliorated;9
10;2022-11-30T16:39:11;2022-11-30T18:16:57;2022-12-01T14:29:07;NOTIFIED;Manors;10
